Time(sec),VGRF_left_s1,VGRF_left_s2,VGRF_left_s3,VGRF_left_s4,VGRF_left_s5,VGRF_left_s6,VGRF_left_s7,VGRF_left_s8,VGRF_right_s1,VGRF_right_s2,VGRF_right_s3,VGRF_right_s4,VGRF_right_s5,VGRF_right_s6,VGRF_right_s7,VGRF_right_s8,Total_force_left,Total_force_right,class
1.1499,58.96,116.16,148.17,42.02,30.14,24.75,76.56,13.2,0,0,0,0,0,0,0,21.12,509.96,21.12,1
1.1599,58.96,117.7,149.82,43.34,31.68,27.83,84.04,17.6,0,0,0,0,0,0,0,15.29,530.97,15.29,1
1.1699,58.96,120.89,151.58,44.66,31.68,27.83,91.52,22,0,0,0,0,0,0,0,11.44,549.12,11.44,1
1.1799,58.96,124.08,151.58,45.98,33.33,30.91,95.26,22,0,0,0,0,0,0,0,5.72,562.1,5.72,1
1.1899,58.96,125.62,153.34,47.3,33.33,33.99,102.74,22,0,0,0,0,0,0,0,0,577.28,0,1
1.1999,58.96,125.62,153.34,48.62,34.87,33.99,110.22,26.4,0,0,0,0,0,0,0,0,592.02,0,1
1.2099,58.96,125.62,155.1,48.62,34.87,37.18,117.26,30.8,0,0,0,0,0,0,0,0,608.41,0,1
1.2199,58.96,125.62,153.34,49.94,36.52,40.26,120.78,30.8,0,0,0,0,0,0,0,0,616.22,0,1
1.2299,55.77,125.62,153.34,49.94,36.52,43.34,127.82,30.8,0,0,0,0,0,0,0,0,623.15,0,1
1.2399,53.13,124.08,153.34,51.26,38.06,43.34,134.97,35.2,0,0,0,0,0,0,0,0,633.38,0,1
1.2499,53.13,122.43,151.58,51.26,38.06,46.42,142.01,35.2,0,0,0,0,0,0,0,0,640.09,0,1
1.2599,50.6,120.89,149.82,52.58,39.71,49.5,149.05,39.6,0,0,0,0,0,0,0,0,651.75,0,1
1.2699,48.07,119.35,146.41,52.58,39.71,52.58,156.2,39.6,0,0,0,0,0,0,0,0,654.5,0,1
1.2799,45.54,116.16,144.65,53.9,41.25,55.77,163.24,44,0,0,0,0,0,0,0,0,664.51,0,1
1.2899,43.01,114.62,142.89,53.9,41.25,58.63,170.39,44,0,0,0,0,0,0,0,0,668.69,0,1
1.2999,40.48,113.08,139.48,53.9,42.9,58.63,174.02,44,0,0,0,0,0,0,0,0,666.49,0,1
1.3099,40.48,109.89,137.72,53.9,42.9,61.6,181.5,48.4,0,0,0,0,0,0,0,0,676.39,0,1
1.3199,37.95,106.7,135.96,53.9,44.44,61.6,185.24,48.4,0,0,0,0,0,0,0,0,674.19,0,1
1.3299,35.42,103.62,132.55,53.9,44.44,61.6,188.98,48.4,0,0,0,0,0,0,0,0,668.91,0,1
1.3399,35.42,100.43,130.79,53.9,44.44,64.57,192.72,48.4,0,0,0,0,0,0,0,0,670.67,0,1
1.3499,32.89,97.35,127.38,53.9,44.44,64.57,196.46,48.4,0,0,0,0,0,0,0,0,665.39,0,1
1.3599,32.89,94.16,125.62,53.9,45.98,64.57,200.2,52.8,0,0,0,0,0,0,0,0,670.12,0,1
1.3699,30.36,91.08,122.1,55.22,45.98,67.43,200.2,52.8,0,0,0,0,0,0,0,0,665.17,0,1
1.3799,27.83,87.89,120.45,55.22,45.98,67.43,203.94,52.8,0,0,0,0,0,0,0,0,661.54,0,1
1.3899,27.83,84.81,116.93,56.54,47.63,70.4,207.68,52.8,0,0,0,0,0,0,0,0,664.62,0,1
1.3999,25.3,81.62,113.52,56.54,47.63,70.4,211.42,52.8,0,0,0,0,0,0,0,0,659.23,0,1
1.4099,25.3,78.43,111.76,58.08,47.63,73.37,215.16,57.2,0,0,0,0,0,0,0,0,666.93,0,1
1.4199,22.77,75.35,108.24,59.62,47.63,76.34,218.9,57.2,0,0,0,0,0,0,0,0,666.05,0,1
1.4299,22.77,73.81,104.72,59.62,49.17,79.2,222.64,57.2,0,0,0,0,0,0,0,0,669.13,0,1
1.4399,20.24,70.62,101.2,61.27,49.17,82.17,225.94,62.48,0,0,0,0,0,0,0,0,673.09,0,1
1.4499,20.24,65.89,97.68,62.81,49.17,85.14,225.94,62.48,0,0,0,0,0,0,0,0,669.35,0,1
1.4599,20.24,62.81,95.92,64.35,49.17,88.11,229.35,62.48,0,0,0,0,0,0,0,0,672.43,0,1
1.4699,17.71,59.62,90.75,66,50.82,88.11,232.76,67.76,0,0,0,0,0,0,0,0,673.53,0,1
1.4799,17.71,55.11,87.23,66,50.82,90.97,239.58,67.76,0,0,0,0,0,0,0,0,675.18,0,1
1.4899,15.18,50.82,83.71,67.54,50.82,93.94,242.99,67.76,0,0,0,0,0,0,0,0,672.76,0,1
1.4999,15.18,46.64,78.43,67.54,50.82,96.91,246.4,73.04,0,0,0,0,0,0,0,0,674.96,0,1
1.5099,15.18,40.92,73.26,67.54,50.82,99.88,253.22,73.04,0,0,0,0,0,0,0,0,673.86,0,1
1.5199,12.65,35.31,66.22,67.54,49.17,102.74,256.63,73.04,0,0,0,0,0,0,0,0,663.3,0,1
1.5299,12.65,29.59,59.18,66,49.17,102.74,263.45,78.32,0,0,0,0,0,0,0,0,661.1,0,1
1.5399,10.12,22.55,52.14,66,49.17,108.68,270.27,83.71,0,0,0,0,0,0,0,0,662.64,0,1
1.5499,10.12,16.94,43.12,66,45.98,111.65,273.68,88.99,0,0,0,0,0,0,0,0,656.48,0,1
1.5599,10.12,12.65,32.34,64.35,44.44,114.51,280.61,88.99,0,0,0,0,0,0,0,0,648.01,0,1
1.5699,10.12,9.79,21.56,61.27,42.9,117.37,284.13,94.27,0,0,0,0,0,0,0,0,641.41,0,1
1.5799,7.59,7.04,16.17,58.08,39.71,120.23,287.65,99.55,0,0,0,0,0,0,0,0,636.02,0,1
1.5899,5.06,4.18,12.54,55.22,36.52,123.09,291.17,104.83,0,0,0,0,0,0,0,0,632.61,0,1
1.5999,0,4.18,8.91,52.58,31.68,128.81,291.17,110.22,0,0,0,0,0,0,0,0,627.55,0,1
1.6099,0,2.75,7.15,48.62,26.95,134.53,287.65,114.95,13.86,0,0,0,0,0,0,0,622.6,13.86,1
1.6199,0,2.75,7.15,44.66,22.22,137.39,284.13,119.79,34.76,0,0,0,0,0,0,0,618.09,34.76,1
1.6299,0,0,5.39,35.42,17.38,143.11,280.61,124.63,61.27,0,0,0,0,0,0,0,606.54,61.27,1
1.6399,0,0,5.39,24.97,12.65,145.97,273.68,134.31,104.5,3.19,5.5,0,0,0,0,0,596.97,113.19,1
1.6499,0,0,3.52,18.37,7.92,143.11,270.27,143.99,114.51,17.71,33,0,0,0,0,0,587.18,165.22,1
1.6599,0,0,3.52,11.77,6.27,140.25,260.04,153.67,107.8,40.37,69.85,0,0,0,0,0,575.52,218.02,1
1.6699,0,0,0,7.81,4.73,131.67,246.4,163.35,94.49,61.82,99.33,0,4.62,0,0,0,553.96,260.26,1
1.6799,0,0,0,3.85,4.73,117.37,225.94,178.86,81.18,74.36,120.67,4.62,11.77,0,4.95,0,530.75,297.55,1
1.6899,0,0,0,0,4.73,105.71,203.94,189.64,74.58,79.75,127.49,6.93,18.81,0,7.48,0,504.02,315.04,1
1.6999,0,0,0,0,4.73,93.94,177.76,195.03,71.17,83.38,129.8,9.35,23.54,0,12.54,0,471.46,329.78,1
1.7099,0,0,0,0,4.73,85.14,152.68,211.2,67.87,86.9,132,13.97,28.16,0,20.13,0,453.75,349.03,1
1.7199,0,0,0,0,4.73,73.37,134.97,221.98,67.87,90.53,136.51,16.39,32.89,4.51,25.19,0,435.05,373.89,1
1.7299,0,0,0,0,4.73,58.63,113.74,226.71,71.17,94.05,141.13,18.7,35.31,4.51,32.67,0,403.81,397.54,1
1.7399,0,0,0,0,3.08,46.42,84.04,221.98,71.17,97.68,145.64,21.01,35.31,4.51,35.2,0,355.52,410.52,1
1.7499,0,0,0,0,4.73,33.99,54.67,211.2,74.58,103.07,147.95,23.43,37.62,6.82,37.73,0,304.59,431.2,1
1.7599,0,0,0,0,3.08,18.59,28.93,195.03,77.88,106.59,150.15,25.74,40.04,6.82,40.26,0,245.63,447.48,1
1.7699,0,0,0,0,3.08,9.24,19.25,158.51,81.18,110.22,152.46,28.05,40.04,6.82,42.79,0,190.08,461.56,1
1.7799,0,0,0,0,3.08,6.16,16.06,129.47,84.48,111.98,152.46,30.47,42.35,6.82,47.85,0,154.77,476.41,1
1.7899,0,0,0,0,3.08,6.16,12.87,114.95,84.48,115.61,156.97,30.47,42.35,9.13,50.38,0,137.06,489.39,1
1.7999,0,0,0,0,0,0,9.57,104.83,87.89,117.48,156.97,32.78,44.66,9.13,52.91,0,114.4,501.82,1
1.8099,0,0,0,0,0,0,9.57,83.71,91.19,119.35,159.28,32.78,47.08,11.44,57.97,3.74,93.28,522.83,1
1.8199,0,0,0,0,0,0,6.38,57.2,91.19,121.22,159.28,35.09,49.39,11.44,64.68,3.74,63.58,536.03,1
1.8299,0,0,0,0,0,0,6.38,35.2,91.19,123.09,159.28,37.51,51.81,13.75,74.8,3.74,41.58,555.17,1
1.8399,0,0,0,0,0,0,6.38,13.2,91.19,124.96,161.48,37.51,54.12,16.06,84.92,5.72,19.58,575.96,1
1.8499,0,0,0,0,0,0,0,8.8,91.19,126.83,163.79,39.82,56.54,18.37,95.04,7.59,8.8,599.17,1
1.8599,0,0,0,0,0,0,0,0,91.19,126.83,166.1,42.13,61.16,20.57,105.16,7.59,0,620.73,1
1.8699,0,0,0,0,0,0,0,0,87.89,128.7,166.1,42.13,63.58,25.19,115.28,7.59,0,636.46,1
1.8799,0,0,0,0,0,0,0,0,87.89,128.7,168.3,44.55,65.89,27.5,125.29,9.57,0,657.69,1
1.8899,0,0,0,0,0,0,0,0,87.89,130.57,168.3,44.55,68.2,29.81,132,9.57,0,670.89,1
1.8999,0,0,0,0,0,0,0,0,84.48,130.57,168.3,46.86,70.62,32.12,138.71,9.57,0,681.23,1
1.9099,0,0,0,0,0,0,0,0,84.48,130.57,168.3,46.86,72.93,34.43,148.83,11.44,0,697.84,1
1.9199,0,0,0,0,0,0,0,0,81.18,130.57,166.1,49.17,75.24,36.74,152.13,13.42,0,704.55,1
1.9299,0,0,0,0,0,0,0,0,77.88,128.7,166.1,49.17,75.24,38.94,158.84,13.42,0,708.29,1
1.9399,0,0,0,0,0,0,0,0,74.58,128.7,163.79,51.59,77.66,41.25,162.25,13.42,0,713.24,1
1.9499,0,0,0,0,0,0,0,0,71.17,126.83,161.48,53.9,77.66,43.56,168.96,13.42,0,716.98,1
1.9599,0,0,0,0,0,0,0,0,71.17,124.96,159.28,51.59,79.97,45.87,172.15,15.29,0,720.28,1
1.9699,0,0,0,0,0,0,0,0,67.87,123.09,159.28,53.9,82.28,45.87,175.45,15.29,0,723.03,1
1.9799,0,0,0,0,0,0,0,0,67.87,123.09,159.28,53.9,82.28,48.18,181.94,15.29,0,731.83,1
1.9899,0,0,0,0,0,0,0,0,64.57,121.22,159.28,53.9,84.7,48.18,185.24,15.29,0,732.38,1
1.9999,0,0,0,0,0,0,0,0,64.57,119.35,156.97,53.9,84.7,48.18,185.24,15.29,0,728.2,1
2.0099,0,0,0,0,0,0,0,0,61.27,117.48,154.66,51.59,87.01,48.18,188.54,15.29,0,724.02,1
2.0199,0,0,0,0,0,0,0,0,57.97,115.61,152.46,53.9,87.01,48.18,188.54,15.29,0,718.96,1
2.0299,0,0,0,0,0,0,0,0,55.55,113.85,150.15,53.9,87.01,50.49,191.73,15.29,0,717.97,1
2.0399,0,0,0,0,0,0,0,0,53.24,111.98,147.95,53.9,87.01,50.49,191.73,15.29,0,711.59,1
2.0499,0,0,0,0,0,0,0,0,53.24,110.22,145.64,53.9,89.43,50.49,191.73,15.29,0,709.94,1
2.0599,0,0,0,0,0,0,0,0,50.93,108.46,141.13,53.9,89.43,50.49,195.03,15.29,0,704.66,1
2.0699,0,0,0,0,0,0,0,0,48.62,104.83,141.13,53.9,89.43,50.49,195.03,15.29,0,698.72,1
2.0799,0,0,0,0,0,0,0,0,46.31,103.07,136.51,53.9,91.74,52.8,195.03,17.27,0,696.63,1
2.0899,0,0,0,0,0,0,0,0,44,101.31,136.51,53.9,91.74,52.8,195.03,17.27,0,692.56,1
2.0999,0,0,0,0,0,0,0,0,41.69,97.68,132,56.21,91.74,52.8,198.33,17.27,0,687.72,1
2.1099,0,0,0,0,0,0,0,0,37.07,94.05,129.8,56.21,94.05,55.11,201.52,17.27,0,685.08,1
2.1199,0,0,0,0,0,0,0,0,34.76,92.29,125.18,58.63,94.05,57.31,204.82,17.27,0,684.31,1
2.1299,0,0,0,0,0,0,0,0,32.45,88.77,122.98,61.49,96.47,59.62,211.31,19.14,0,692.23,1
2.1399,0,0,0,0,0,0,0,0,27.72,86.9,118.36,64.35,98.78,64.13,214.61,19.14,0,693.99,1
2.1498,0,0,0,0,0,0,0,0,25.41,86.9,111.65,70.18,101.09,66.33,217.91,19.14,0,698.61,1
2.1598,0,0,0,0,0,0,0,0,23.1,85.14,106.7,73.15,101.09,70.84,221.21,21.12,0,702.35,1
2.1698,0,0,0,0,0,0,0,0,20.79,85.14,101.75,78.98,101.09,77.66,221.21,21.12,0,707.74,1
2.1798,0,0,0,0,0,0,0,0,20.79,85.14,94.38,87.67,101.09,79.97,217.91,22.99,0,709.94,1
2.1898,0,0,0,0,0,0,0,0,18.48,85.14,89.43,96.36,101.09,86.68,217.91,22.99,0,718.08,1
2.1998,0,0,0,0,0,0,0,0,18.48,85.14,82.06,105.16,101.09,91.19,214.61,24.97,0,722.7,1
2.2098,0,0,0,0,0,0,0,0,18.48,81.51,74.69,110.99,101.09,95.81,217.91,24.97,0,725.45,1
2.2198,0,0,0,0,0,0,0,0,16.17,77.99,67.32,116.93,101.09,100.32,217.91,24.97,0,722.7,1
2.2298,0,0,0,0,0,0,0,0,13.86,72.6,59.95,119.9,101.09,104.83,221.21,26.84,0,720.28,1
2.2398,0,0,0,0,0,0,0,0,13.86,65.45,52.25,122.87,101.09,107.03,224.84,26.84,0,714.23,1
2.2498,0,0,0,0,0,0,0,0,11.55,60.06,44,125.84,101.09,111.65,228.58,26.84,0,709.61,1
2.2598,0,0,0,0,0,0,0,0,9.24,51.59,35.75,125.84,103.51,114.07,232.32,28.82,0,701.14,1
2.2698,0,0,0,0,0,0,0,0,9.24,45.21,30.25,128.81,101.09,119.02,239.8,28.82,0,702.24,1
2.2798,0,0,0,0,0,0,0,0,9.24,37.07,24.75,128.81,98.78,123.97,243.54,30.69,0,696.85,1
2.2898,0,0,0,0,0,0,0,0,6.93,24.2,19.25,128.81,96.47,128.92,247.28,30.69,0,682.55,1
2.2998,0,0,0,0,0,0,0,0,4.62,14.52,16.5,131.78,91.74,133.87,247.28,32.67,0,672.98,1
2.3098,0,0,0,0,0,0,0,0,0,11.22,13.75,131.78,87.01,141.35,243.54,32.67,0,661.32,1
2.3198,0,0,0,0,0,0,0,0,0,8.03,13.75,131.78,79.97,146.3,243.54,34.54,0,657.91,1
2.3298,0,0,0,0,0,0,0,0,0,8.03,11,131.78,72.93,153.67,239.8,34.54,0,651.75,1
2.3398,5.06,0,0,0,0,0,0,0,0,6.38,8.25,125.84,63.58,161.15,236.06,36.52,5.06,637.78,1
2.3498,10.12,0,0,0,0,0,0,0,0,4.84,8.25,116.93,54.12,168.41,236.06,38.39,10.12,627,1
2.3598,17.71,0,0,0,0,0,0,0,0,4.84,5.5,105.16,40.04,175.67,232.32,38.39,17.71,601.92,1
2.3698,25.3,0,0,0,0,0,0,0,0,3.19,5.5,87.67,30.58,182.93,232.32,40.37,25.3,582.56,1
2.3798,40.48,0,0,0,0,0,0,0,0,3.19,5.5,61.49,21.12,187.77,232.32,44.22,40.48,555.61,1
2.3898,43.01,9.79,7.15,0,0,0,0,0,0,3.19,0,46.86,16.39,192.61,228.58,48.07,59.95,535.7,1
2.3998,37.95,23.98,41.36,2.53,0,0,0,0,0,0,0,32.78,11.77,192.61,221.21,60.28,105.82,518.65,1
2.4098,35.42,31.02,75.02,7.81,14.3,0,6.38,0,0,0,0,23.43,11.77,185.35,211.31,76.12,169.95,507.98,1
2.4198,32.89,38.06,88.99,10.45,19.03,0,16.06,0,0,0,0,13.97,9.35,175.67,198.33,92.07,205.48,489.39,1
2.4298,35.42,45.21,95.92,18.37,23.76,0,28.93,0,0,0,0,9.35,9.35,151.25,178.75,110.22,247.61,458.92,1
2.4398,32.89,46.64,101.2,21.01,25.41,0,41.8,0,0,0,0,6.93,9.35,123.97,148.83,125.62,268.95,414.7,1
2.4498,32.89,49.39,104.72,24.97,26.95,9.24,54.67,8.8,0,0,0,6.93,7.04,104.83,121.99,141.02,311.63,381.81,1
2.4598,32.89,58.08,108.24,27.61,26.95,12.32,65.34,13.2,0,0,0,4.62,7.04,91.19,101.75,158.62,344.63,363.22,1
2.4698,35.42,65.89,111.76,31.46,28.6,15.4,72.82,13.2,0,0,0,4.62,7.04,77.66,84.92,171.82,374.55,346.06,1
2.4798,35.42,73.81,113.52,34.1,28.6,18.59,80.3,17.6,0,0,0,0,4.62,61.82,64.68,185.68,401.94,316.8,1
2.4898,37.95,78.43,113.52,36.74,30.14,21.67,84.04,17.6,0,0,0,0,4.62,43.56,45.32,194.92,420.09,288.42,1
2.4998,37.95,81.62,111.76,39.38,30.14,24.75,87.78,22,0,0,0,0,4.62,22.88,30.14,192.61,435.38,250.25,1
2.5098,37.95,86.35,110,42.02,30.14,27.83,95.26,22,0,0,0,0,4.62,13.75,20.13,167.42,451.55,205.92,1
2.5198,37.95,89.43,110,44.66,31.68,33.99,99,26.4,0,0,0,0,4.62,11.44,17.6,154.22,473.11,187.88,1
2.5298,37.95,92.62,108.24,47.3,31.68,33.99,106.48,26.4,0,0,0,0,4.62,9.13,15.07,143.22,484.66,172.04,1
2.5398,37.95,94.16,106.48,49.94,33.33,40.26,110.22,30.8,0,0,0,0,0,9.13,12.54,121.22,503.14,142.89,1
2.5498,35.42,94.16,106.48,51.26,33.33,43.34,117.26,35.2,0,0,0,0,0,6.82,10.01,92.07,516.45,108.9,1
2.5598,35.42,94.16,106.48,52.58,34.87,46.42,124.3,35.2,0,0,0,0,0,4.51,10.01,60.28,529.43,74.8,1
2.5698,35.42,94.16,108.24,53.9,34.87,49.5,134.97,39.6,0,0,0,0,0,4.51,7.48,34.54,550.66,46.53,1
2.5798,35.42,95.7,110,55.22,36.52,52.58,142.01,39.6,0,0,0,0,0,4.51,4.95,22.99,567.05,32.45,1
2.5898,35.42,97.35,110,56.54,38.06,55.77,149.05,39.6,0,0,0,0,0,0,0,17.27,581.79,17.27,1
2.5998,35.42,98.89,111.76,56.54,38.06,58.63,152.68,44,0,0,0,0,0,0,0,13.42,595.98,13.42,1
2.6098,35.42,100.43,111.76,59.62,39.71,61.6,159.72,48.4,0,0,0,0,0,0,0,7.59,616.66,7.59,1
2.6198,35.42,103.62,111.76,61.27,39.71,64.57,166.76,48.4,0,0,0,0,0,0,0,3.74,631.51,3.74,1
2.6298,35.42,105.16,111.76,62.81,41.25,67.43,170.39,48.4,0,0,0,0,0,0,0,0,642.62,0,1
2.6398,35.42,106.7,111.76,66,41.25,73.37,174.02,52.8,0,0,0,0,0,0,0,0,661.32,0,1
2.6498,35.42,106.7,110,67.54,41.25,76.34,181.5,52.8,0,0,0,0,0,0,0,0,671.55,0,1
2.6598,35.42,106.7,110,69.08,41.25,79.2,185.24,57.2,0,0,0,0,0,0,0,0,684.09,0,1
2.6698,32.89,106.7,108.24,70.73,42.9,82.17,188.98,57.2,0,0,0,0,0,0,0,0,689.81,0,1
2.6798,32.89,105.16,106.48,72.27,42.9,82.17,192.72,57.2,0,0,0,0,0,0,0,0,691.79,0,1
2.6898,32.89,103.62,104.72,73.81,42.9,85.14,196.46,62.48,0,0,0,0,0,0,0,0,702.02,0,1
2.6998,30.36,102.08,104.72,73.81,42.9,88.11,200.2,62.48,0,0,0,0,0,0,0,0,704.66,0,1
2.7098,30.36,98.89,102.96,73.81,44.44,88.11,203.94,62.48,0,0,0,0,0,0,0,0,704.99,0,1
2.7198,30.36,97.35,101.2,73.81,44.44,88.11,207.68,62.48,0,0,0,0,0,0,0,0,705.43,0,1
2.7298,27.83,94.16,99.44,72.27,44.44,85.14,207.68,62.48,0,0,0,0,0,0,0,0,693.44,0,1
2.7398,27.83,92.62,97.68,72.27,45.98,88.11,207.68,62.48,0,0,0,0,0,0,0,0,694.65,0,1
2.7498,27.83,89.43,97.68,72.27,45.98,85.14,211.42,62.48,0,0,0,0,0,0,0,0,692.23,0,1
2.7598,27.83,87.89,95.92,72.27,45.98,85.14,211.42,62.48,0,0,0,0,0,0,0,0,688.93,0,1
2.7698,27.83,87.89,95.92,72.27,45.98,85.14,211.42,62.48,0,0,0,0,0,0,0,0,688.93,0,1
2.7798,27.83,86.35,95.92,72.27,45.98,85.14,211.42,62.48,0,0,0,0,0,0,0,0,687.39,0,1
2.7898,27.83,86.35,95.92,73.81,45.98,85.14,207.68,62.48,0,0,0,0,0,0,0,0,685.19,0,1
2.7998,27.83,84.81,94.27,73.81,47.63,88.11,211.42,62.48,0,0,0,0,0,0,0,0,690.36,0,1
2.8098,25.3,83.16,92.51,75.46,47.63,88.11,211.42,62.48,0,0,0,0,0,0,0,0,686.07,0,1
2.8198,25.3,83.16,90.75,77,47.63,88.11,211.42,62.48,0,0,0,0,0,0,0,0,685.85,0,1
2.8298,25.3,80.08,88.99,78.54,47.63,90.97,211.42,62.48,0,0,0,0,0,0,0,0,685.41,0,1
2.8398,25.3,80.08,87.23,80.19,47.63,93.94,211.42,67.76,0,0,0,0,0,0,0,0,693.55,0,1
2.8498,25.3,80.08,85.47,83.38,49.17,93.94,207.68,67.76,0,0,0,0,0,0,0,0,692.78,0,1
2.8598,22.77,80.08,83.71,88.11,47.63,96.91,203.94,67.76,0,0,0,0,0,0,0,0,690.91,0,1
2.8698,22.77,81.62,83.71,91.19,47.63,99.88,203.94,67.76,0,0,0,0,0,0,0,0,698.5,0,1
2.8798,22.77,80.08,80.19,94.38,45.98,102.74,200.2,67.76,0,0,0,0,0,0,0,0,694.1,0,1
2.8898,22.77,78.43,78.43,95.92,45.98,105.71,200.2,67.76,0,0,0,0,0,0,0,0,695.2,0,1
2.8998,20.24,76.89,76.67,97.57,45.98,105.71,203.94,67.76,0,0,0,0,0,0,0,0,694.76,0,1
2.9098,20.24,73.81,75.02,99.11,45.98,108.68,203.94,67.76,0,0,0,0,0,0,0,0,694.54,0,1
2.9198,20.24,70.62,73.26,100.65,45.98,108.68,207.68,67.76,0,0,0,0,0,0,0,0,694.87,0,1
2.9298,17.71,67.43,71.5,100.65,47.63,111.65,211.42,73.04,0,0,0,0,0,0,0,0,701.03,0,1
2.9398,17.71,64.35,69.74,102.3,47.63,111.65,211.42,73.04,0,0,0,0,0,0,0,0,697.84,0,1
2.9498,17.71,59.62,66.22,102.3,47.63,114.51,218.9,73.04,0,0,0,0,0,0,0,0,699.93,0,1
2.9598,17.71,55.11,62.7,103.84,47.63,117.37,222.64,78.32,0,0,0,0,0,0,0,0,705.32,0,1
2.9698,15.18,52.25,59.18,105.38,49.17,120.23,225.94,78.32,0,0,0,0,0,0,0,0,705.65,0,1
2.9798,15.18,47.96,53.9,107.03,47.63,123.09,229.35,83.71,4.62,0,0,0,0,0,0,0,707.85,4.62,1
2.9898,15.18,43.78,48.51,110.22,47.63,125.95,229.35,83.71,0,0,0,0,0,0,0,0,704.33,0,1
2.9998,12.65,39.49,41.36,113.52,45.98,131.67,229.35,83.71,0,0,0,0,0,0,0,0,697.73,0,1
3.0098,12.65,35.31,32.34,118.47,42.9,137.39,229.35,88.99,0,0,0,0,0,0,0,0,697.4,0,1
3.0198,12.65,32.45,23.32,123.53,41.25,143.11,229.35,88.99,0,0,0,0,0,0,0,0,694.65,0,1
3.0298,10.12,28.16,17.93,128.59,36.52,148.83,225.94,94.27,0,0,0,0,0,0,0,0,690.36,0,1
3.0398,7.59,19.69,14.3,130.24,33.33,157.41,225.94,99.55,0,0,0,0,0,0,0,0,688.05,0,1
3.0498,5.06,12.65,10.78,130.24,28.6,163.13,229.35,104.83,0,0,0,0,0,0,0,0,684.64,0,1
3.0598,0,7.04,7.15,128.59,25.41,168.96,229.35,110.22,0,0,0,0,0,0,0,0,676.72,0,1
3.0698,0,5.61,5.39,123.53,22.22,171.82,232.76,114.95,0,0,0,0,0,0,0,0,676.28,0,1
3.0798,0,4.18,5.39,115.17,17.38,180.4,232.76,119.79,0,0,0,0,0,0,0,0,675.07,0,1
3.0898,0,2.75,3.52,105.38,14.3,186.12,229.35,129.47,9.24,0,0,0,0,0,0,0,670.89,9.24,1
3.0998,0,2.75,3.52,92.84,9.46,191.84,229.35,134.31,25.41,0,0,0,0,0,0,0,664.07,25.41,1
3.1098,0,0,0,78.54,7.92,194.7,222.64,143.99,39.38,0,0,0,0,0,0,0,647.79,39.38,1
3.1198,0,0,0,59.62,6.27,200.42,215.16,153.67,55.55,0,0,0,0,0,0,0,635.14,55.55,1
3.1298,0,0,0,44.66,6.27,203.28,207.68,163.35,84.48,0,5.5,0,0,0,0,0,625.24,89.98,1
3.1398,0,0,0,35.42,6.27,209,192.72,173.47,101.2,0,24.75,0,0,0,0,0,616.88,125.95,1
3.1498,0,0,0,27.61,4.73,206.14,177.76,178.86,111.1,8.03,49.5,0,0,0,0,0,595.1,168.63,1
3.1598,0,0,0,21.01,4.73,203.28,159.72,189.64,107.8,22.55,69.85,0,0,0,0,0,578.38,200.2,1
3.1698,0,0,0,14.41,4.73,194.7,138.49,200.42,94.49,38.72,89.43,0,0,0,0,0,552.75,222.64,1
3.1798,0,0,0,9.13,4.73,177.54,120.78,205.81,81.18,54.89,109.12,0,11.77,0,4.95,0,517.99,261.91,1
3.1898,0,0,0,7.81,4.73,157.41,102.74,221.98,81.18,72.6,120.67,4.62,21.12,0,10.01,0,494.67,310.2,1
3.1998,0,0,0,6.49,4.73,143.11,80.3,231.44,81.18,86.9,129.8,9.35,28.16,0,17.6,0,466.07,352.99,1
3.2098,0,0,0,5.17,4.73,123.09,54.67,231.44,84.48,97.68,136.51,16.39,32.89,4.51,25.19,0,419.1,397.65,1
3.2198,0,0,0,3.85,4.73,99.88,32.12,221.98,87.89,103.07,141.13,21.01,35.31,4.51,32.67,0,362.56,425.59,1
3.2298,0,0,0,3.85,4.73,79.2,22.44,189.64,87.89,108.46,143.33,25.74,37.62,6.82,37.73,0,299.86,447.59,1
3.2398,0,0,0,2.53,4.73,58.63,22.44,158.51,91.19,115.61,143.33,30.47,37.62,6.82,42.79,0,246.84,467.83,1
3.2498,0,0,0,0,4.73,33.99,19.25,134.31,94.49,119.35,141.13,32.78,40.04,9.13,45.32,3.74,192.28,485.98,1
3.2598,0,0,0,0,3.08,18.59,16.06,124.63,94.49,124.96,141.13,35.09,40.04,9.13,47.85,3.74,162.36,496.43,1
3.2698,0,0,0,0,3.08,12.32,16.06,104.83,97.79,126.83,143.33,37.51,42.35,11.44,50.38,3.74,136.29,513.37,1
3.2798,0,0,0,0,3.08,9.24,12.87,78.32,97.79,128.7,143.33,39.82,44.66,11.44,55.44,3.74,103.51,524.92,1
3.2898,0,0,0,0,0,9.24,9.57,48.4,101.2,130.57,145.64,39.82,44.66,13.75,61.27,3.74,67.21,540.65,1
3.2998,0,0,0,0,0,6.16,6.38,26.4,101.2,132.44,145.64,39.82,47.08,13.75,67.98,5.72,38.94,553.63,1
3.3098,0,0,0,0,0,0,6.38,13.2,101.2,132.44,147.95,42.13,49.39,18.37,78.1,5.72,19.58,575.3,1
3.3198,0,0,0,0,0,0,6.38,8.8,101.2,134.2,150.15,44.55,51.81,18.37,84.92,7.59,15.18,592.79,1
3.3298,0,0,0,0,0,0,0,0,101.2,136.07,150.15,44.55,54.12,20.57,95.04,7.59,0,609.29,1
